model,metric,value
isolation_forest,accuracy,0.9147511209489755
isolation_forest,precision,0.5396874042292369
isolation_forest,recall,1.0
isolation_forest,f1_score,0.7010350318471338
isolation_forest,roc_auc,0.9526421995207467
isolation_forest,inference_time,4.28483247756958
isolation_forest,detections,6526.0
one_class_svm,accuracy,0.898348373914524
one_class_svm,precision,0.4954641669186574
one_class_svm,recall,0.9304372515616127
one_class_svm,f1_score,0.6466061562746646
one_class_svm,roc_auc,0.912611109069998
one_class_svm,inference_time,1118.077603816986
one_class_svm,detections,6614.0
lof,accuracy,0.8413076792099438
lof,precision,0.3113379511483777
lof,recall,0.4849517319704713
lof,f1_score,0.37921847246891655
lof,roc_auc,0.6829160223731786
lof,inference_time,23.18199372291565
lof,detections,5486.0
